dt(GPS)	frame	 LO(m)	 AO(rad)
187.9996	1182	0.0655	-0.1001
187.9996	1183	0.0646	-0.1005
188.9989	1184	0.0584	-0.0989
188.9989	1185	0.0603	-0.0888
188.9989	1186	0.0631	-0.0733
188.9989	1187	0.0633	-0.0644
188.9989	1188	0.0643	-0.0627
188.9989	1189	0.0650	-0.0626
189.9992	1190	0.0844	-0.0641
189.9992	1191	0.0854	-0.0656
189.9992	1192	0.0866	-0.0666
189.9992	1193	0.0888	-0.0667
189.9992	1194	0.0888	-0.0667
189.9992	1195	0.0919	-0.0668
190.9987	1196	0.0832	-0.0659
190.9987	1197	0.0837	-0.0665
190.9987	1198	0.0833	-0.0678
190.9987	1199	0.0819	-0.0686
190.9987	1200	0.0813	-0.0681
190.9987	1201	0.0826	-0.0676
190.9987	1202	0.0819	-0.0691
191.9990	1203	0.0793	-0.0699
191.9990	1204	0.0787	-0.0721
191.9990	1205	0.0775	-0.0734
191.9990	1206	0.0756	-0.0750
191.9990	1207	0.0752	-0.0756
191.9990	1208	0.0753	-0.0746
192.9987	1209	0.0767	-0.0737
192.9987	1210	0.0772	-0.0732
192.9987	1211	0.0790	-0.0728
192.9987	1212	0.0790	-0.0728
192.9987	1213	0.0813	-0.0729
192.9987	1214	0.0825	-0.0731
192.9987	1215	0.0820	-0.0748
192.9987	1216	0.0820	-0.0748
193.9993	1217	0.0777	-0.0784
193.9993	1218	0.0764	-0.0808
193.9993	1219	0.0762	-0.0816
193.9993	1220	0.0750	-0.0829
194.9987	1221	0.0642	-0.0831
194.9987	1222	0.0664	-0.0834
194.9987	1223	0.0675	-0.0841
194.9987	1224	0.0706	-0.0844
194.9987	1225	0.0706	-0.0844
194.9987	1226	0.0700	-0.0857
195.9989	1227	0.0621	-0.0872
195.9989	1228	0.0622	-0.0871
195.9989	1229	0.0622	-0.0873
195.9989	1230	0.0622	-0.0873
195.9989	1231	0.0591	-0.0882
195.9989	1232	0.0571	-0.0891
196.9990	1233	0.0547	-0.0877
196.9990	1234	0.0566	-0.0819
196.9990	1235	0.0596	-0.0741
196.9990	1236	0.0619	-0.0728
